ID	Category	Language	Genre	Genre2	Pubdate	Author_Last	Author_First	Work_Title	Translation	PubHouse	Prize	WinnerShortlist	Author_Gender	Author_Nationality
[Heist Society 2] Uncommon Criminals - Ally Carter.txt	FIC	English	YA		2011	Carter	Ally	UncommonCriminals					F	
2002_Baker,Jo_Offcomer_CT.txt	FIC	English	NYT		2002	Baker	Jo	Offcomer					F	UK
2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt	FIC	English	BS		2002	SueMonk	Kidd	TheSecretLifeofBees					F	US
2002_Sebold,Alice_LovelyBones_BS.txt	FIC	English	BS		2002	Alice	Sebold	LovelyBones					F	US
2003_Low,Gennita_IntoDanger_ROM.txt	FIC	English	ROM		2003	Low	Gennita	IntoDanger					F	US
2004_Picoult,Jodi_MySistersKeeper_BS.txt	FIC	English	BS		2004	Jodi	Picoult	MySistersKeeper					F	US
2005_Barfoot,Joan_Luck_PW.txt	FIC	English	PW		2005	Barfoot	Joan	Luck		AlfredA.Knopf	ScotiabankGillerPrize	Shortlist	F	Canada
2005_Danticat,Edwidge_DewBreaker_PW.txt	FIC	English	PW		2005	Danticat	Edwidge	DewBreaker		AlfredA.Knopf	PEN/FaulknerAwardforFiction	Shortlist	F	Haiti/US
2005_Fried,Golda_Nellcott_PW.txt	FIC	English	PW		2005	Fried	Golda	Nellcott		CoachHouseBooks	GovernorGeneralLiteraryAwardforfiction	Shortlist	F	Canada
2005_Gaitskill,Mary_Veronica_PW.txt	FIC	English	PW		2005	Gaitskill	Mary	Veronica		Pantheon	TheNationalBookAwards	Shortlist	F	US
2005_Gardner,Lisa_Alone_BS.txt	FIC	English	BS		2005	Lisa	Gardner	Alone					F	US
2005_Gibb,Camilla_SweetnessintheBelly_PW.txt	FIC	English	PW		2005	Gibb	Camilla	SweetnessintheBelly		Doubleday	ScotiabankGillerPrize	Shortlist	F	Canada
2005_Giffin,Emily_SomethingBorrowed_BS.txt	FIC	English	BS		2005	Emily	Giffin	SomethingBorrowed					F	US
2005_Gill,Charlotte_Ladykiller_PW.txt	FIC	English	PW		2005	Gill	Charlotte	Ladykiller		ThomasAllen	GovernorGeneralLiteraryAwardforfiction	Shortlist	F	Canada
2005_Moore,Lisa_Alligator_PW.txt	FIC	English	PW		2005	Moore	Lisa	Alligator		HouseofAnansiPress	ScotiabankGillerPrize	Shortlist	F	Canada
2005_Pate,Kathy_Alphabet_PW.txt	FIC	English	PW		2005	Page	Kathy	Alphabet		McArthur&Co.	GovernorGeneralLiteraryAwardforfiction	Shortlist	F	UK/Canada
2005_Ravel,Edeet_WallofLight_PW.txt	FIC	English	PW		2005	Ravel	Edeet	WallofLight		RandomHouse	ScotiabankGillerPrize	Shortlist	F	Canada
